Tarefa,Início,Fim,Saída,Modo
teste2.py,2024-08-02 10:00:23.600316,2024-08-02 10:00:23.711451,"Hora atual: 2024-08-02 10:00:23
Script executado
",Agendado
teste2.py,2024-08-02 10:00:24.088988,2024-08-02 10:00:24.193775,"Hora atual: 2024-08-02 10:00:24
Script executado
",Agendado
teste2.py,2024-08-02 10:00:34.198874,2024-08-02 10:00:34.293028,"Hora atual: 2024-08-02 10:00:34
Script executado
",Agendado
teste2.py,2024-08-02 10:00:54.333589,2024-08-02 10:00:54.464284,"Hora atual: 2024-08-02 10:00:54
Script executado
",Agendado
teste2.py,2024-08-02 10:00:54.465375,2024-08-02 10:00:54.571256,"Hora atual: 2024-08-02 10:00:54
Script executado
",Agendado
teste2.py,2024-08-02 10:01:23.775170,2024-08-02 10:01:23.878042,"Hora atual: 2024-08-02 10:01:23
Script executado
",Agendado
teste2.py,2024-08-02 10:01:24.583878,2024-08-02 10:01:24.719440,"Hora atual: 2024-08-02 10:01:24
Script executado
",Agendado
teste2.py,2024-08-02 10:01:34.735804,2024-08-02 10:01:34.838143,"Hora atual: 2024-08-02 10:01:34
Script executado
",Agendado
teste2.py,2024-08-02 10:01:54.853443,2024-08-02 10:01:54.952663,"Hora atual: 2024-08-02 10:01:54
Script executado
",Agendado
teste2.py,2024-08-02 10:01:54.953754,2024-08-02 10:01:55.049369,"Hora atual: 2024-08-02 10:01:55
Script executado
",Agendado
teste2.py,2024-08-02 10:02:23.903898,2024-08-02 10:02:24.002692,"Hora atual: 2024-08-02 10:02:23
Script executado
",Agendado
teste2.py,2024-08-02 10:02:25.063402,2024-08-02 10:02:25.172139,"Hora atual: 2024-08-02 10:02:25
Script executado
",Agendado
teste2.py,2024-08-02 10:02:35.174867,2024-08-02 10:02:35.282980,"Hora atual: 2024-08-02 10:02:35
Script executado
",Agendado
teste2.py,2024-08-02 10:03:24.061302,2024-08-02 10:03:24.178970,"Hora atual: 2024-08-02 10:03:24
Script executado
",Agendado
teste2.py,2024-08-02 10:04:24.212495,2024-08-02 10:04:24.311582,"Hora atual: 2024-08-02 10:04:24
Script executado
",Agendado
teste2.py,2024-08-02 10:04:42.027225,2024-08-02 10:04:42.127004,"Hora atual: 2024-08-02 10:04:42
Script executado
",Agendado
teste2.py,2024-08-02 10:05:24.354390,2024-08-02 10:05:24.456116,"Hora atual: 2024-08-02 10:05:24
Script executado
",Agendado
teste2.py,2024-08-02 10:05:56.005173,2024-08-02 10:05:56.115442,"Hora atual: 2024-08-02 10:05:56
Script executado
",Agendado
teste2.py,2024-08-02 10:06:24.513443,2024-08-02 10:06:24.615779,"Hora atual: 2024-08-02 10:06:24
Script executado
",Agendado
teste2.py,2024-08-02 10:07:14.612029,2024-08-02 10:07:14.719926,"Hora atual: 2024-08-02 10:07:14
Script executado
",Agendado
teste2.py,2024-08-02 10:07:24.645771,2024-08-02 10:07:24.784492,"Hora atual: 2024-08-02 10:07:24
Script executado
",Agendado
teste2.py,2024-08-02 10:08:24.838898,2024-08-02 10:08:24.962264,"Hora atual: 2024-08-02 10:08:24
Script executado
",Agendado
teste2.py,2024-08-02 10:09:24.847676,2024-08-02 10:09:24.947843,"Hora atual: 2024-08-02 10:09:24
Script executado
",Agendado
teste2.py,2024-08-02 10:09:25.000183,2024-08-02 10:09:25.102540,"Hora atual: 2024-08-02 10:09:25
Script executado
",Agendado
teste2.py,2024-08-02 10:10:24.982503,2024-08-02 10:10:25.085453,"Hora atual: 2024-08-02 10:10:25
Script executado
",Agendado
teste2.py,2024-08-02 10:10:25.087100,2024-08-02 10:10:25.192023,"Hora atual: 2024-08-02 10:10:25
Script executado
",Agendado
teste2.py,2024-08-02 10:10:25.135318,2024-08-02 10:10:25.242793,"Hora atual: 2024-08-02 10:10:25
Script executado
",Agendado
teste2.py,2024-08-02 10:10:35.207333,2024-08-02 10:10:35.303900,"Hora atual: 2024-08-02 10:10:35
Script executado
",Agendado
teste2.py,2024-08-02 10:11:25.286613,2024-08-02 10:11:25.390193,"Hora atual: 2024-08-02 10:11:25
Script executado
",Agendado
teste2.py,2024-08-02 10:11:25.347732,2024-08-02 10:11:25.456308,"Hora atual: 2024-08-02 10:11:25
Script executado
",Agendado
teste2.py,2024-08-02 10:11:25.456859,2024-08-02 10:11:25.568503,"Hora atual: 2024-08-02 10:11:25
Script executado
",Agendado
teste2.py,2024-08-02 10:11:35.573385,2024-08-02 10:11:35.668725,"Hora atual: 2024-08-02 10:11:35
Script executado
",Agendado
teste2.py,2024-08-02 10:12:25.467294,2024-08-02 10:12:25.564750,"Hora atual: 2024-08-02 10:12:25
Script executado
",Agendado
teste2.py,2024-08-02 10:12:25.726393,2024-08-02 10:12:25.821741,"Hora atual: 2024-08-02 10:12:25
Script executado
",Agendado
teste2.py,2024-08-02 10:12:25.822830,2024-08-02 10:12:25.918884,"Hora atual: 2024-08-02 10:12:25
Script executado
",Agendado
teste2.py,2024-08-02 10:12:35.929906,2024-08-02 10:12:36.046372,"Hora atual: 2024-08-02 10:12:36
Script executado
",Agendado
teste2.py,2024-08-02 10:13:16.087810,2024-08-02 10:13:16.182638,"Hora atual: 2024-08-02 10:13:16
Script executado
",Agendado
teste2.py,2024-08-02 10:13:25.628427,2024-08-02 10:13:25.789223,"Hora atual: 2024-08-02 10:13:25
Script executado
",Agendado
